Tax,gdppc,doing_business
68,37440.64149,0.9
68,36855.84468,0.9
68,36324.36154,0.9
67.7,37618.20734,1
68.3,37755.29451,1.1
68.2,37113.18341,1.1
68.3,36505.84873,1.2
,36200.07627,1.1
,35479.01035,1.4
,35440.92191,
,35304.73072,
,34880.88182,
,33810.40325,
,32865.04648,
,31853.63066,
,31236.41334,
,30918.06796,
,30396.17548,
,29810.36251,
,30124.36653,
,29797.86241,
,29514.85381,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
30,,0
30.7,39753.24389,0
30.9,39309.32708,0.1
32,38839.16696,0.1
33.5,38251.79248,0.3
34.7,37398.79722,0.3
35,36892.85031,0.7
36.2,36607.98109,0.7
36.1,36366.98318,0.7
34.9,36042.42423,0.7
34.2,37903.38193,0.8
34.6,38384.25197,0.8
34.6,37793.6185,0.7
34.7,37159.79896,0.7
,36292.18203,0.9
,35656.178,1
,34669.51824,
,33981.37759,
,33266.11643,
,32205.15089,
,31305.68625,
,30441.83937,
,29335.69611,
,28682.34216,
,28065.18545,
,27085.78766,
,26481.63157,
,26454.40981,
,26827.84226,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
51.9,,1.5
51.7,24574.38248,1.5
50.7,24211.74089,2.2
49.6,24170.30184,2.1
50.7,24081.63054,2.2
44,23746.08457,12.1
44.1,24364.26906,20.5
45.9,26141.31959,20.1
46.7,28726.07928,20.7
46.7,30430.41942,20.2
46.7,31881.71235,22.5
48.9,32073.9604,21.1
49.5,31136.44696,21.7
54,29559.28139,22
,29469.5266,32.5
,28119.40736,32.7
,26642.76896,
,25731.20927,
,24839.07591,
,24000.13589,
,23374.15277,
,22622.91379,
,21759.06123,
,21247.0409,
,20907.53901,
,20600.47676,
,21058.96205,
,21072.93327,
,20686.13676,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
23,50378.33792,1.9
23,50085.95933,1.9
23,48107.70863,2
23,45390.45286,1.8
24.1,46635.08799,2
24.1,45937.39283,3.1
24.1,43520.46272,3.3
24.1,40922.88508,3.4
,38274.26017,3.4
,35486.59273,2.4
,34366.2671,
,33956.26233,
,34016.64226,
,31875.11733,
,31394.06894,
,33635.9385,
,32271.38367,
,32358.04542,
,32239.85749,
,31097.0888,
,29788.63609,
,28276.77092,
,26974.16489,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
22.9,,1.1
22.9,56054.91983,1.1
22.9,54412.92494,0.6
22.8,53591.83582,1.2
22.8,52789.42536,1.4
22.6,51732.44253,0.8
20.5,,6.6
20.6,22828.37215,7.2
20.9,21921.90556,7.4
20,21025.83906,3.4
18.4,20364.41092,3.6
19.3,20299.39128,9.1
21.2,20342.9706,7.1
21.3,20758.46415,8.4
21.5,20182.63478,8.4
20.8,20432.10386,8.1
20.8,22012.08065,10.1
20.8,21565.50413,10.1
20.8,20464.7875,11.5
20.8,19506.05416,12.7
,18748.74504,13.7
,18038.39898,16.3
,17084.86097,
,16232.12827,
,15740.06154,
,14741.51396,
,15055.94604,
,14551.21138,
,13881.29148,
,12619.75676,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
40.3,,4.9
46.4,26777.56079,5.4
46.3,25664.136,7.1
48.2,25034.45073,7.5
47.9,24161.42552,8.5
49.2,23119.01697,8.8
49.7,22582.07281,8.9
51.8,22841.21034,7.6
54.5,22404.2392,8.2
56.4,22202.15702,8
56.4,23734.24453,8.4
55.2,23491.74789,17.7
52.9,23353.8502,20.9
53.6,22452.81593,22.4
,21466.22237,22.9
,20397.84488,40.4
,19585.7223,
,18683.98185,
,17951.73552,
,17181.94475,
,16604.18575,
,15892.41754,
,15347.79173,
,15319.2828,
,15073.44729,
,14621.89846,
,14689.86335,
,15148.28617,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
26,,0.1
26,67335.29341,0.2
26,63227.20798,0.2
26,60818.04624,0.2
26,48898.32866,0.3
25.9,45470.15851,0.3
25.6,44973.17526,0.3
25.5,45147.37624,0.4
25.4,44030.41415,0.4
25.6,43487.47903,0.3
25.5,46062.62864,0.3
25.4,48937.49415,0.3
25.4,47879.02361,0.3
25.4,46613.55709,5.3
,44940.94648,10.3
,42903.67322,10.4
,42289.06502,
,40455.3012,
,38849.86076,
,35935.79134,
,32854.72152,
,30598.29853,
,28023.12117,
,26199.73073,
,24020.1935,
,22802.5875,
,22315.9676,
,21741.85066,
,21453.2404,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
29.4,,1.7
29.7,46482.95829,1.8
30.1,45630.93817,2
30.1,43048.12515,2.2
30.3,41701.13727,2.4
30.3,41259.79596,2.7
31.1,39931.60936,3
30.3,39621.93566,3.3
26.4,38978.0056,2.3
24.4,40377.83351,3
26.1,43334.90052,2.6
26.3,43427.85293,2.7
26.8,40703.03606,3
26.8,39679.03924,2.8
,37890.69771,3
,35369.02149,
,34794.78788,
,34914.54881,
,34044.64902,
,32995.22413,
,32144.76148,
,30359.98771,
,29123.27566,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
26.2,,2.8
27,33132.3203,3.2
28.1,32688.4081,3.3
27.9,32024.35277,3.4
26.7,31702.08354,3.5
26.4,31250.80201,4.1
25.6,30582.15371,4
26.8,30558.39128,4.4
27.5,29743.00587,4.3
28.3,28787.49869,4.2
30.1,29082.06885,4.4
32.9,28744.35656,4.4
34.8,27662.34576,5.1
35.5,26761.23046,5.3
,26156.04064,5.5
,25459.08374,5.5
,25725.46735,
,26206.43637,
,26824.70512,
,25462.87485,
,25208.11143,
,24759.60197,
,24489.33596,
,23870.01265,
,22997.03,
,21968.47512,
,21668.21961,
,20814.95641,
,20520.4105,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
53.1,,14.1
48,35220.08379,14.1
62,34655.26276,14.3
64.8,34302.0374,14.4
65.2,33945.84388,14.8
65.6,34219.83278,14.7
67.6,35227.62483,16.7
67.6,36347.34248,18.4
67.6,36201.16157,18.7
67.6,35710.42,18
72.5,37954.16066,18.5
75.3,38612.01165,18.7
75.3,38243.80633,20
76.7,37604.36062,20.7
,37434.10009,21.4
,37090.40522,22.1
,37199.35237,
,37162.42334,
,36535.81877,
,35244.75654,
